appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
577350,Train Sim World: Great Western Express,Dovetail Games,Dovetail Games - Trains,,222,64,0,"0 .. 20,000",0,0,0,0,1799,2999,40,"English, French, Italian, German, Spanish, Polish, Russian, Simplified Chinese",Simulation,0,"{'Simulation': 27, 'Trains': 11, 'Realistic': 6}"
577351,Train Sim World: Main Spessart Bahn: Aschaffenburg - Gemünden,Dovetail Games,Dovetail Games - TSW,,64,24,0,"0 .. 20,000",0,0,0,0,2399,2999,20,"English, French, German, Spanish - Spain, Russian, Simplified Chinese",Simulation,0,{'Simulation': 23}
577352,Train Sim World: BR Class 33 Loco Add-On,Dovetail Games,Dovetail Games - TSW,,42,4,0,"0 .. 20,000",0,0,0,0,1999,1999,0,"English, French, German, Spanish - Spain, Russian, Simplified Chinese",Simulation,0,{'Simulation': 25}
577353,Train Sim World: Northern Trans-Pennine: Manchester - Leeds Route Add-On,Dovetail Games,Dovetail Games - TSW,,69,12,0,"0 .. 20,000",0,0,0,0,2999,2999,0,"English, French, German, Spanish - Spain, Russian, Simplified Chinese",Simulation,0,{'Simulation': 22}
577354,Train Sim World: Long Island Rail Road: New York - Hicksville Route Add-On,Dovetail Games,Dovetail Games - TSW,,69,27,0,"0 .. 20,000",0,0,0,0,2999,2999,0,"English, French, German, Spanish - Spain, Russian, Simplified Chinese",Simulation,0,"{'Simulation': 26, 'Trains': 6}"
577355,Train Sim World: Ruhr-Sieg Nord: Hagen - Finnentrop Route Add-On,Dovetail Games,Dovetail Games - TSW,,174,27,0,"0 .. 20,000",0,0,0,0,2999,2999,0,"English, French, German, Spanish, Russian, Simplified Chinese",Simulation,0,"{'Simulation': 29, 'Trains': 5}"
577356,Train Sim World: West Somerset Railway Route Add-On,Dovetail Games,Dovetail Games - Trains,,106,25,0,"0 .. 20,000",0,0,0,0,0,0,0,"English, French, German, Spanish, Russian, Simplified Chinese",Simulation,0,"{'Simulation': 26, 'Trains': 6}"
577357,Train Sim World: Northeast Corridor New York,Dovetail Games,Dovetail Games - Trains,,88,95,0,"0 .. 20,000",0,0,0,0,2999,2999,0,"English, French, Italian, German, Spanish, Polish, Russian, Simplified Chinese",Simulation,0,"{'Simulation': 25, 'Trains': 6}"
577358,Train Sim World: Rapid Transit,Dovetail Games,Dovetail Games - Trains,,105,95,0,"0 .. 20,000",0,0,0,0,2999,2999,0,"English, French, Italian, German, Spanish, Polish, Russian, Simplified Chinese",Simulation,0,"{'Simulation': 27, 'Trains': 7}"
577359,Train Sim World: CSX GP40-2 Loco Add-On,Dovetail Games,Dovetail Games - Trains,,47,21,0,"0 .. 20,000",0,0,0,0,1999,1999,0,"English, Simplified Chinese, French, Italian, German, Spanish, Polish, Russian",Simulation,0,{'Simulation': 22}
577360,Luna and the Moonling,Greyborn Studios,Greyborn Studios,,16,5,0,"0 .. 20,000",0,0,0,0,1499,1499,0,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese, Turkish","Adventure, Casual, Indie",0,"{'Indie': 33, 'Adventure': 31, 'Casual': 21, 'Puzzle': 19, 'Female Protagonist': 17, 'Retro': 12, 'Sokoban': 11, 'Difficult': 11, 'Cute': 5}"
577370,Boost,Parallel Mind LLC,Parallel Mind LLC,,2,2,0,"0 .. 20,000",0,0,0,0,899,899,0,English,"Action, Casual, Indie, Sports, Early Access",0,"{'Action': 21, 'Indie': 21, 'Early Access': 21, 'Casual': 21, 'Sports': 21, 'VR': 5}"
